SAM2 Video Prediction: 05_default_juggle
==================================================
Input: C:\workspace\SAM2\.dataset\video_samples\05_default_juggle\05_default_juggle.mp4
Frames: 247, Size: 1280x720
FPS: 24.0
Checkpoint: loaded
Device: cuda
Frame 186: objs=[1], area=7327
Frame 187: objs=[1], area=7109
Frame 188: objs=[1], area=7072
Frame 189: objs=[1], area=6925
Frame 190: objs=[1], area=6828
Frame 191: objs=[1], area=6689
Frame 192: objs=[1], area=6466
Frame 193: objs=[1], area=6298
Frame 194: objs=[1], area=6430
Frame 195: objs=[1], area=6006
Frame 196: objs=[1], area=6012
Frame 197: objs=[1], area=6019
Frame 198: objs=[1], area=6188
Frame 199: objs=[1], area=6165
Frame 200: objs=[1], area=6249
Frame 201: objs=[1], area=6221
Frame 202: objs=[1], area=6550
Frame 203: objs=[1], area=6470
Frame 204: objs=[1], area=6527
Frame 205: objs=[1], area=6764
Frame 206: objs=[1], area=5684
Frame 207: objs=[1], area=7307
Frame 208: objs=[1], area=5669
Frame 209: objs=[1], area=7818
Frame 210: objs=[1], area=5694
Frame 211: objs=[1], area=5689
Frame 212: objs=[1], area=5694
Frame 213: objs=[1], area=5766
Frame 214: objs=[1], area=5832
Frame 215: objs=[1], area=12645
Frame 216: objs=[1], area=14262
Frame 217: objs=[1], area=6374
Frame 218: objs=[1], area=6529
Frame 219: objs=[1], area=6675
Frame 220: objs=[1], area=6325
Frame 221: objs=[1], area=6152
Frame 222: objs=[1], area=6029
Frame 223: objs=[1], area=5671
Frame 224: objs=[1], area=5532
Frame 225: objs=[1], area=5447
Frame 226: objs=[1], area=5544
Frame 227: objs=[1], area=5486
Frame 228: objs=[1], area=5587
Frame 229: objs=[1], area=5604
Frame 230: objs=[1], area=5585
Frame 231: objs=[1], area=5710
Frame 232: objs=[1], area=5088
Frame 233: objs=[1], area=5387
Frame 234: objs=[1], area=5341
Frame 235: objs=[1], area=5121
Frame 236: objs=[1], area=4970
Frame 237: objs=[1], area=4799
Frame 238: objs=[1], area=4668
Frame 239: objs=[1], area=4491
Frame 240: objs=[1], area=4545
Frame 241: objs=[1], area=4534
Frame 242: objs=[1], area=4521
Frame 243: objs=[1], area=4612
Frame 244: objs=[1], area=4658
Frame 245: objs=[1], area=4738
Frame 246: objs=[1], area=4770
